station_id,window_name,sample_count,winner_top1_rate,winner_top3_rate,winner_avg_prob,winner_avg_rank
KORD,D-1 00-06,3848,0.12707900207900208,0.48336798336798337,0.21765591966173362,2.3488372093023258
KORD,D-1 06-12,3728,0.10246781115879829,0.36373390557939916,0.23397420147420148,2.6676904176904177
KORD,D-1 12-18,4167,0.10247180225581953,0.33309335253179745,0.2505826086956522,2.445217391304348
KORD,D-1 18-24,4400,0.1393181818181818,0.39454545454545453,0.27687830687830683,2.0957671957671957
KLGA,D-1 00-06,3976,0.30005030181086517,0.4295774647887324,0.2756442343344457,2.8153503893214684
KLGA,D-1 06-12,3763,0.264416688812118,0.4687749136327398,0.26978356435643563,2.883168316831683
KLGA,D-1 12-18,4125,0.36824242424242426,0.520969696969697,0.288468438538206,2.4471760797342195
KLGA,D-1 18-24,4294,0.23497904052165813,0.47088961341406615,0.25799865546218487,2.6783193277310926
EGLC,D-1 00-06,4507,0.2602618149545152,0.6161526514311072,0.27596895074946465,2.391251147139798
EGLC,D-1 06-12,3845,0.352925877763329,0.6221066319895969,0.29308676945141626,2.333811401936178
EGLC,D-1 12-18,3725,0.2953020134228188,0.5216107382550336,0.3127946880269814,2.790472175379427
EGLC,D-1 18-24,4168,0.28742802303262954,0.5976487523992322,0.326324427480916,2.5183900069396254
KMIA,D-1 00-06,3981,0.22104998744034163,0.7701582516955539,0.22978736498367244,2.536799799045466
KMIA,D-1 06-12,3761,0.28582823717096517,0.859877692103164,0.2398989630417442,2.42967295931933
KMIA,D-1 12-18,4119,0.4729303228939063,0.8856518572469045,0.30797851420247635,1.8936635105608157
KMIA,D-1 18-24,4279,0.5784061696658098,0.9595699929890161,0.3541405702266885,1.61626548258939
KDAL,D-1 00-06,3850,0.24987012987012988,0.2948051948051948,0.6717034129692833,2.1215017064846418
KDAL,D-1 06-12,3724,0.3523093447905478,0.3523093447905478,0.7378265703168426,2.017787659811006
KDAL,D-1 12-18,4164,0.2915465898174832,0.3607108549471662,0.7390807873090482,1.799059929494712
KDAL,D-1 18-24,4398,0.2928603910868577,0.3669849931787176,0.8131802973977695,1.4039653035935564
KATL,D-1 00-06,3975,0.02666666666666667,0.13685534591194967,0.20054398148148148,3.025925925925926
KATL,D-1 06-12,3763,0.07733191602444858,0.1815041190539463,0.23112244897959186,2.872448979591837
KATL,D-1 12-18,4122,0.15502183406113537,0.21639980591945657,0.3731539600296077,2.3501110288675053
KATL,D-1 18-24,4283,0.1251459257529769,0.3681998599112771,0.38600970588235295,2.0311764705882354
LFPG,D-1 00-06,4388,0.16978122151321787,0.49453053783044665,0.21674012869260018,2.834454518865165
LFPG,D-1 06-12,3979,0.2774566473988439,0.5712490575521488,0.2235308395202741,2.6259280411193604
LFPG,D-1 12-18,3759,0.1556264964086193,0.5956371375365789,0.23472194962381418,2.5996074582924438
LFPG,D-1 18-24,4124,0.3181377303588749,0.8554801163918526,0.28405823349122317,2.037614934522151
LTAC,D-1 00-06,4409,0.2789748242231799,0.37582218190065775,0.2504257651895843,2.121059844677935
LTAC,D-1 06-12,4218,0.3138928402086297,0.42911332385016593,0.2696443914081145,1.8720763723150358
LTAC,D-1 12-18,3870,0.3702842377260982,0.43901808785529717,0.30497162022703816,1.6403508771929824
LTAC,D-1 18-24,3767,0.35147332094504913,0.5479161136182639,0.3490358527131783,1.6182170542635659
